Mean,Mode,Slope,bottle
-2.96900973542733,-0.03,-2.67749145604215,6
-1.01308551283609,-0.882,-0.955563738068166,7
-1.26600708545089,-0.915,-1.1413502658175,8
-3.17529894657864,-1.965,-3.09149729981324,9
-6.98275644163891,-3.525,-6.85522107112585,10
-9.18831705427651,-7.71,-9.24436335210877,11
-0.241554776297777,-0.015,-0.0775870036699545,12
-0.443040488099686,-0.018,-0.0194233518522133,1
-0.309444850512111,-0.102,-0.105839030379738,2
-0.405106676337207,-0.015,-0.0953063473588435,3
-1.14093806808172,-1.065,-0.998029554074133,4
-3.34373564210704,-1.935,-3.26999760924059,5
